"temp","pop","plant","cat_id","date_hatch","date_4","delta_4","time_molt_4","mass_4","ln_4","date_5","delta_5","time_molt_5","mass_5","ln_5","date_w","delta_w","mass_w","ln_w","time_in_5"
"25","L","DC","V","7-May-08","16-May-08",9,NA,307.67,5.73,"20-May-08",13,NA,1686.03,7.43,"28-May-08",21,10327.68,9.242582948,8
"25","L","DC","X","7-May-08","16-May-08",9,NA,320.35,5.77,"21-May-08",14,NA,2345.53,7.76,"30-May-08",23,11766.08,9.372976095,9
"25","L","DC","Z","7-May-08","17-May-08",10,NA,337.47,5.82,"22-May-08",15,NA,1896.86,7.55,"30-May-08",23,10525.76,9.261580865,8
"25","L","DC","CC","7-May-08","16-May-08",9,NA,312.28,5.74,"20-May-08",13,NA,1942.61,7.57,"29-May-08",22,10861.1,9.292942877,9
"25","L","DC","DD","7-May-08","17-May-08",10,NA,329.1,5.8,"22-May-08",15,NA,1979.79,7.59,"30-May-08",23,11362.04,9.338033254,8
"25","L","DC","GG","7-May-08","17-May-08",10,NA,263.42,5.57,"22-May-08",15,NA,1584.18,7.37,"3-Jun-08",27,8315.65,9.025894561,12
"25","L","DC","HH","7-May-08","17-May-08",10,NA,344.04,5.84,"22-May-08",15,NA,2141.52,7.67,"2-Jun-08",26,11635.13,9.361784249,11
"25","L","DC","LL","7-May-08","18-May-08",11,NA,272.48,5.61,"24-May-08",17,NA,2039.86,7.62,"3-Jun-08",27,11134.23,9.317779426,10
"25","L","DC","MM","7-May-08","17-May-08",10,NA,456.39,6.12,"21-May-08",14,NA,1919.96,7.56,"27-May-08",20,9723.56,9.182307086,6
"25","L","DC","NN","7-May-08","18-May-08",11,NA,313.33,5.75,"24-May-08",17,NA,2062.74,7.63,"3-Jun-08",27,8330.82,9.02771717,10
"25","L","DC","QQ","7-May-08","18-May-08",11,NA,354.07,5.87,"23-May-08",16,NA,1706.43,7.44,"1-Jun-08",25,8930.67,9.097246699,9
"25","L","DC","RR","7-May-08","16-May-08",9,NA,265.34,5.58,"21-May-08",14,NA,1766.59,7.48,"29-May-08",22,9363.32,9.144555207,8
"25","L","DC","SS","7-May-08","18-May-08",11,NA,205.39,5.32,"24-May-08",17,NA,1454.94,7.28,"2-Jun-08",26,7316.38,8.897870949,9
"25","L","DC","TT","7-May-08","17-May-08",10,NA,315.18,5.75,"21-May-08",14,NA,1690.36,7.43,"28-May-08",21,10151.42,9.225368876,7
"25","L","DC","VV","7-May-08","16-May-08",9,NA,294.18,5.68,"21-May-08",14,NA,1657.3,7.41,"30-May-08",23,8900.98,9.093916662,9
"25","L","TB","A","7-May-08","14-May-08",7,NA,404.89,6,"17-May-08",10,NA,1921.65,7.56,"22-May-08",15,13124.61,9.482244373,5
"25","L","TB","B","7-May-08","14-May-08",7,NA,339.95,5.83,"17-May-08",10,NA,1863.96,7.53,"23-May-08",16,12612.06,9.442408778,6
"25","L","TB","C","7-May-08","14-May-08",7,NA,515.14,6.24,"17-May-08",10,NA,2101.85,7.65,"22-May-08",15,13232.65,9.490442539,5
"25","L","TB","D","7-May-08","14-May-08",7,NA,245.49,5.5,"18-May-08",11,NA,2436.71,7.8,"22-May-08",15,11696.79,9.367069724,4
"25","L","TB","E","7-May-08","14-May-08",7,NA,375.79,5.93,"17-May-08",10,NA,2023.42,7.61,"22-May-08",15,12657.13,9.445975972,5
"25","L","TB","F","7-May-08","14-May-08",7,NA,256.05,5.55,"17-May-08",10,NA,1833.01,7.51,"22-May-08",15,13102.23,9.480537724,5
"25","L","TB","G","7-May-08","14-May-08",7,NA,293.65,5.68,"18-May-08",11,NA,3108.2,8.04,"23-May-08",16,14381.57,9.573702805,5
"25","L","TB","H","7-May-08","15-May-08",8,NA,279.6,5.63,"18-May-08",11,NA,2403.25,7.78,"22-May-08",15,12296.92,9.417104103,4
"25","L","TB","I","7-May-08","15-May-08",8,NA,285.45,5.65,"18-May-08",11,NA,2102.27,7.65,"23-May-08",16,12001.02,9.392746925,5
"25","L","TB","J","7-May-08","14-May-08",7,NA,270.15,5.6,"18-May-08",11,NA,2471.9,7.81,"23-May-08",16,14370.12,9.57290633,5
"25","L","TB","K","7-May-08","14-May-08",7,NA,273.12,5.61,"18-May-08",11,NA,2418.62,7.79,"22-May-08",15,11779.61,9.37412535,4
"25","L","TB","L","7-May-08","15-May-08",8,NA,304.44,5.72,"18-May-08",11,NA,2214.85,7.7,"24-May-08",17,14516.44,9.583037079,6
"25","L","TB","M","7-May-08","15-May-08",8,NA,290.52,5.67,"19-May-08",12,NA,2342.65,7.76,"24-May-08",17,13848.82,9.535955309,5
"25","L","TB","N","7-May-08","15-May-08",8,NA,340.83,5.83,"18-May-08",11,NA,2404.95,7.79,"23-May-08",16,13714.96,9.526242487,5
"25","L","TB","P","7-May-08","14-May-08",7,NA,293.85,5.68,"18-May-08",11,NA,2333.92,7.76,"22-May-08",15,12138.42,9.404130908,4
"25","L","TB","Q","7-May-08","15-May-08",8,NA,350.9,5.86,"18-May-08",11,NA,2612.71,7.87,"23-May-08",16,12996.07,9.472402283,5
"25","L","TB","R","7-May-08","14-May-08",7,NA,310.42,5.74,"18-May-08",11,NA,2721.12,7.91,"22-May-08",15,14083.22,9.552739297,4
"25","L","TB","S","7-May-08","15-May-08",8,NA,387.08,5.96,"18-May-08",11,NA,2602.14,7.86,"23-May-08",16,13840.43,9.535349298,5
"25","L","TB","T","7-May-08","15-May-08",8,NA,320.3,5.77,"18-May-08",11,NA,1955.15,7.58,"23-May-08",16,11812.92,9.376949127,5
"30","L","DC","A","7-May-08","13-May-08",6,NA,242.11,5.49,"16-May-08",9,NA,1568,7.36,"22-May-08",15,10178.92,9.228074194,6
