ID,food,fate,date.max,mass.max,pop,para,HS,bin,date.death,survived,date.hatch,mass.hatch,date.3rd,mass.3rd,date.para,num.para,date.hs,date.4th,mass.4th,date.5th,mass.5th,date.6th,mass.6th,date.7th,mass.7th,date.w,mass.w,date.pupa,date.mass,mass.pupa,date.eclos,mass.eclos,sex,deformed,date.coc,date.remove,mass.remove,num.w.coc,num.w.larvae,wet,date.w.eclos,num.w.eclos,date.5th.2,mass.5th.2,date.5th.3,mass.5th.3,date.5th.4,mass.5th.4,date.6th.2,mass.6th.2,date.6th.3,mass.6th.3,date.6th.4,mass.6th.4,date.7th.2,mass.7th.2,,,date.out,mass.out,date.cull,notes
063,TB,wander,8/9/20,8471.1,Clayton,no,yes,S,,yes,07/21/2020,1,07/27/2020,89.15,,,07/27/2020,07/30/2020,456.8,08/03/2020,1805.2,,,,,08/09/2020,8471.1,FAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bled 7/30, floor 8/9"
064,TB,wander,8/8/20,9958.7,Clayton,no,no,S,,yes,07/20/2020,1,07/27/2020,102.07,,,,07/29/2020,279.9,08/02/2020,1595.9,,,,,08/08/2020,9958.7,,08/31/2020,4033.14,09/06/2020,1489.97,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Found on the floor 8/8
065,TB,wowe mongo,8/23/20,16210,Clayton,yes,yes,T,,yes,07/21/2020,1,07/27/2020,76.26,07/27/2020,2,07/27/2020,07/30/2020,260.9,08/03/2020,1327.6,08/09/2020,5591.5,,,,,,,,,,,,,,,,,,,,,,08/23/2020,16210,,,,,,,,,,,,,08/29/2020,15608.1,,
066,TB,em,8/12/20,6519.42,Clayton,yes,no,T,,yes,07/21/2020,1,07/27/2020,86.67,07/27/2020,3,,07/29/2020,197.5,08/03/2020,1800.6,,,,,,,,,,,,,,08/10/2020,08/12/2020,6519.42,182,2,no,08/15/2020,160,,,,,,,,,,,,,,,,,,,,
067,TB,em,8/12/20,991.85,Clayton,yes,yes,U,,yes,07/21/2020,1,07/27/2020,55.81,07/27/2020,2,07/27/2020,07/30/2020,148.5,08/03/2020,540.8,,,,,,,,,,,,,,08/09/2020,08/12/2020,991.85,15,1,no,08/15/2020,15,,,,,,,,,,,,,,,,,,,,same bin as 068 7/29
068,TB,dead,,,Clayton,yes,no,U,07/31/2020,no,07/21/2020,1,07/27/2020,52.62,07/27/2020,1,,07/29/2020,109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"same bin as 067 7/29, bled"
069,TB,wander,8/10/20,7234.6,Clayton,no,yes,V,,yes,07/21/2020,1,07/27/2020,34.05,, ,07/27/2020,07/30/2020,151.1,,,,,,,08/10/2020,7234.6,,08/31/2020,3866.71,09/07/2020,1449.67,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"same bin as 70, 8/7"
070,TB,dead,,,Clayton,no,no,V,08/08/2020,no,07/19/2020,1,07/27/2020,87.33,,,,07/29/2020,280.6,08/03/2020,2380.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"same bin as 69, 8/7"
071,DC,dead,,,Clayton,yes,yes,N,,yes,07/21/2020,1,07/28/2020,74.73,07/28/2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
072,DC,dead,,,Clayton,yes,no,N,07/29/2020,no,07/21/2020,1,07/28/2020,44.07,07/28/2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
